                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1835,                 1.4419,                 1.8937,                0.48477,                0.63342,                0.60814,                0.39232,                 0.4026,                 1.4662,                 1.9566,              0.0083665,              0.0083665,              0.0083665
                     36,                 1.1519,                 1.4137,                 1.8624,                0.50679,                0.64922,                0.62062,                0.40639,                0.36429,                 1.4128,                 1.9177,               0.008317,               0.008317,               0.008317
                     37,                 1.1574,                 1.3958,                 1.8558,                0.57566,                0.63753,                0.66794,                0.43949,                0.36239,                  1.406,                 1.8816,              0.0082675,              0.0082675,              0.0082675
                     38,                 1.1344,                 1.3795,                 1.8447,                0.62125,                0.58406,                0.67417,                0.44614,                0.34716,                 1.2899,                 1.8419,               0.008218,               0.008218,               0.008218
                     39,                  1.123,                 1.3567,                 1.8233,                0.59704,                0.66789,                0.68614,                0.45365,                0.36798,                 1.3202,                 1.8692,              0.0081685,              0.0081685,              0.0081685
                     40,                 1.1313,                 1.3483,                 1.8219,                0.58089,                0.65296,                 0.6804,                0.46343,                 0.3189,                 1.2668,                 1.8048,               0.008119,               0.008119,               0.008119
                     41,                 1.1016,                 1.3186,                 1.7854,                0.55916,                0.62763,                0.63457,                0.41921,                0.34113,                 1.2841,                 1.8456,              0.0080695,              0.0080695,              0.0080695
                     42,                 1.1007,                 1.3206,                 1.7825,                0.52297,                0.69644,                0.66667,                 0.4584,                0.30671,                 1.2704,                 1.7834,                0.00802,                0.00802,                0.00802
                     43,                 1.0776,                  1.276,                 1.7547,                0.62579,                0.64665,                0.69546,                0.46211,                0.30661,                 1.1799,                 1.7853,              0.0079705,              0.0079705,              0.0079705
                     44,                 1.0523,                 1.2646,                 1.7449,                0.61267,                0.68267,                0.70987,                0.48308,                0.32912,                  1.176,                 1.7764,               0.007921,               0.007921,               0.007921
                     45,                 1.0543,                 1.2515,                 1.7401,                0.65945,                0.65166,                 0.7178,                0.48644,                0.31559,                 1.1955,                 1.7772,              0.0078715,              0.0078715,              0.0078715
                     46,                 1.0571,                   1.25,                 1.7284,                0.62326,                0.70601,                0.75041,                0.50526,                0.30235,                 1.1597,                 1.7545,               0.007822,               0.007822,               0.007822
                     47,                 1.0324,                 1.2171,                   1.71,                0.65181,                0.67383,                0.73062,                0.50618,                0.28149,                 1.1357,                 1.6957,              0.0077725,              0.0077725,              0.0077725
                     48,                 1.0311,                  1.209,                 1.7085,                0.60512,                0.76028,                0.74081,                0.50697,                0.28138,                 1.1294,                 1.6994,               0.007723,               0.007723,               0.007723
                     49,                 1.0356,                 1.2081,                 1.7067,                0.65055,                0.72263,                0.74149,                0.49706,                0.29406,                 1.1408,                 1.7364,              0.0076735,              0.0076735,              0.0076735
